사업자번호,법인명,성명,주소,당좌거래 정지일
204-86-*****,존,,서울동대문구장한로,20170914
204-86-*****,주은약품,,서울동대문구한천로,20160902
376-86-*****,주은투,,서울영등포구버드나루로,20170801
125-86-*****,준형농수산,,경기평택시송탄로,20170530
125-81-*****,중부화스너,,경기평택시청북면원후사길,20180115
128-81-*****,중앙이앤씨,,경기고양시덕양구지도로,20161005
105-86-*****,중앙피엔엘,,경기파주시직지길,20170907
607-81-*****,중외종합건설,,부산강서구대저동서로,20161130
305-81-*****,지성일렉트릭,,충북청주시서원구현도면죽암도원로,20180404
621-81-*****,지에이테크,,경남양산시하북면월평1길,20161207
823-81-*****,지오,,경기양주시광적면삼일로,20170711
211-88-*****,지투비통상,,서울강남구논현로,20161219
874-88-*****,진성실업,,서울중랑구동일로,20180125
137-81-*****,진성이알브이,,경기김포시양촌읍유현삭시로,20161110
410-86-*****,진성퍼니처,,전남함평군월야면문화로,20180314
105-81-*****,진영도서,,경기파주시산남로,20180129
110-86-*****,진영물류,,서울서대문구가재울로,20160803
301-81-*****,진영산업개발,,충북청주시청원구1순환로,20171213
502-86-*****,진영종합상사,,경기김포시대곶면쇄암로,20180131
132-81-*****,진주물류,,경기남양주시진접읍내각1로,20170328
505-81-*****,진현건설,,대구수성구청호로,20161005
204-81-*****,참존글로벌워크,,서울성북구보문로,20170215
502-86-*****,창건기업,,대구북구복현로,20170712
407-88-*****,창영물산,,서울중랑구동일로,20170404
609-81-*****,창원옵텍,,경남창원시성산구완암로,20170208
609-81-*****,창원컴텍,,경남창원시의창구차룡로,20170208
396-87-*****,창일비앤비,,서울성북구정릉로,20180503
314-86-*****,청계팜,,대전유성구월드컵대로,20170317
607-81-*****,청목E&C,,부산연제구법원로,20180712
113-81-*****,청솔바이오텍,,서울구로구디지털로,20160803
506-81-*****,청우,,경북포항시남구효성로,20161101
109-81-*****,청우기연,,서울강서구공항대로,20170124
210-81-*****,청운,,경기양주시광적면화합로,20170508
109-81-*****,청운소재,,서울구로구경인로,20171204
202-81-*****,청운지류유통,,서울중구퇴계로,20180416
504-81-*****,청풍,,대구북구동북로,20161005
506-81-*****,청학식품,,경북포항시북구청하면비학로,20170802
204-86-*****,초록푸드시스템,,인천계양구계산새로,20170215
141-81-*****,초지,,경기남양주시진건읍사릉로,20180202
126-81-*****,초코텍,,경기광주시초월읍용수길,20180604
416-81-*****,추진전기,,전남보성군미력면농공길,20180426
489-88-*****,친구마트,,경기화성시효행로,20180510
126-86-*****,캐로스,,경기이천시마장면둔터로,20171130
825-87-*****,컴브릿지보영,,경기고양시일산동구정발산로,20171229
109-86-*****,케이시피월드,,서울서초구신반포로,20170901
314-81-*****,케이씨씨태산,,대전대덕구대전로,20171127
514-81-*****,케이에프티오성,,대구달서구성서로,20180305
505-81-*****,케이엠피이,,경북경주시천북면모아동산길,20161018
610-86-*****,케이와이스틸,,울산울주군청량면온산로,20170412
